SMILES,pred_IC50,pIC50,P-gp_substrate,P-gp_I_inhibitor,P-gp_II_inhibitor,CYP2D6_substrate,CYP3A4_substrate,CYP1A2_inhibitor,CYP2C19_inhibitor,CYP2C9_inhibitor,AMES_toxicity,hERG_II_inhibitor,Hepatotoxicity,Skin_Sensitisation,sa_score
O=C1NC(=O)C(Cc2ccc3nccc(-c4ccncc4)c3c2)S1,51.963680151554435,7.2843000990748505,0,0,0,0,0,0,0,0,0,0,0,0,2.9045787320522347
CC(C)[C@@]12C[C@@H](OC(=O)CO)[C@@](C)(O1)[C@@H]1CC[C@@H](C)[C@H]1[C@@H]2OC(=O)/C=C/c1ccccc1,42.82248859341765,7.3683280976444765,0,0,0,0,0,0,0,0,0,0,0,0,5.249774196347531
Cc1[nH]ccc2c1[nH]c1cc(=O)ccc12,520.9259899200176,6.283223974306076,0,0,0,0,0,0,0,0,0,0,0,0,2.7844282887502505
COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,216.7604283493572,6.664019999431291,0,0,0,0,0,0,0,0,0,0,0,0,2.623368421680496
O=C(Nc1ccc(Cl)cc1)NS(=O)(=O)c1ccc2c(c1)CCC2,107.65018991251773,6.967985199673418,0,0,0,0,0,0,0,0,0,0,0,0,1.944225690133596
O=C1c2c(O)cccc2-c2nn(CCNCCO)c3ccc(NCCNCCO)c1c23,68.68612359435298,7.1631309930002836,0,0,0,0,0,0,0,0,0,0,0,0,2.879872934371628
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,97.36046041673366,7.011617380998472,0,0,0,0,0,0,0,0,0,0,0,0,2.0650288908165084
OCCNC(c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1,450.4660696629151,6.346337915701833,0,0,0,0,0,0,0,0,0,0,0,0,2.6817755649035266
COc1cc(OC)cc(N2CCN(C(=O)Nc3nc4cc(F)ccc4nc3OC)CC2)c1,24.89394737264561,7.603906232911982,0,0,0,0,0,0,0,0,0,0,0,0,2.455875689986808
Cc1ccc2c(-c3ccccc3)nc(=O)n(C(C)C)c2c1,7.187366606389157,8.143430202496637,0,0,0,0,0,0,0,0,0,0,0,0,2.0898780402496406
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc([C@@H](C)N3C[C@@H](C)O[C@@H](C)C3)ns2)n1,17.328477375103414,7.761239596353711,0,0,0,0,0,0,0,0,0,0,0,0,4.361412006201702
c1ccc2ncncc2c1,44.31892577083728,7.353410774846677,0,0,0,0,0,0,0,0,0,0,0,0,1.772800135906282
COc1cc2c(cc1OC)CN(C(=O)[C@H](C)N[C@@H](CCc1ccccc1)C(=O)O)[C@H](C(=O)O)C2,5.946015566444707,8.225773958163003,0,0,0,0,0,0,0,0,0,0,0,0,3.3197741409720445
O=C1C[C@H]2O[C@@H](c3cccc(O)c3)C3=C(C(=O)c4ccccc4C3=O)[C@H]2O1,287.97904387571725,6.540639114533383,0,0,0,0,0,0,0,0,0,0,0,0,3.697268567213202
CCCc1cc(N2CCC(NC)CC2)nc2sc(C(N)=O)c(N)c12,131.31900086440993,6.881672430243064,0,0,0,0,0,0,0,0,0,0,0,0,2.6888759727615454
CSc1ncc2cc(-c3ccccc3)c(-c3ccc(CNCCCn4ccnc4)cc3)nc2n1,120.77689843264429,6.918016127326503,0,0,0,0,0,0,0,0,0,0,0,0,2.6113891655380197
NS(=O)(=O)c1ccc(Nc2ncc3c(n2)-c2ccc(NC(=O)Cc4ccsc4)cc2CC3)cc1,705.8246848732433,6.15130315708859,0,0,0,0,0,0,0,0,0,0,0,0,2.5520807784512733
Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CCC[C@@H](N)C2)ccc2[nH]ccc12,377.758255811141,6.422786035489156,0,0,0,0,0,0,0,0,0,0,0,0,3.4274174219599374
C[C@H](Nc1ccc(C#N)n(C)c1=O)c1cc2cc(Cl)ccc2[nH]c1=O,13.000357330155472,7.886044710433011,0,0,0,0,0,0,0,0,0,0,0,0,3.194324875657874
O=c1[nH]cc(F)c(=O)[nH]1,158.91464243441072,6.798836084948118,0,0,0,0,0,0,0,0,0,0,0,0,2.6590876226101727
CC(=O)NCc1cc(-c2cc3nc(NC4CC4)c4ncn(C)c4n3n2)ccc1F,161.30958197610894,6.792339834249281,0,0,0,0,0,0,0,0,0,0,0,0,2.8528232704893313
CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O,23.555916747762797,7.627899989250107,0,0,0,0,0,0,0,0,0,0,0,0,2.999368598814005
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C,386.48044506318547,6.41287247539637,0,0,0,0,0,0,0,0,0,0,0,0,2.5925511577576703
c1ccc(-c2cc(-c3nn[nH]n3)cnc2-c2ccc(CNCc3ccc(-c4csnn4)cc3)cc2)cc1,155.2112464646752,6.809076813357534,0,0,0,0,0,0,0,0,0,0,0,0,2.6592505828733337
CN1C(=O)[C@@H](N2CCc3cn(CC4CCS(=O)(=O)CC4)nc3C2=O)COc2ccccc21,422.83725740065677,6.373826752749117,0,0,0,0,0,0,0,0,0,0,0,0,3.4907133340253544
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,80.84554832181291,7.092343889084724,0,0,0,0,0,0,0,0,0,0,0,0,2.2946637686993423
C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1n1ccc2cnc3[nH]cc(C#N)c3c21,86.84597440741838,7.061250307708114,0,0,0,0,0,0,0,0,0,0,0,0,3.9193940542106365
COc1c2ccoc2cc2oc(=O)ccc12,118.22125177965403,6.927304446457964,0,0,0,0,0,0,0,0,0,0,0,0,2.4035123549469937
C[C@]12N[C@H](Cc3ccccc31)c1ccccc12,10.793095619661722,7.9668539753615475,0,0,0,0,0,0,0,0,0,0,0,0,3.792547287218083
COc1cc2ncc3c(N)nc(-c4cncc(OCCN)c4)cc3c2cc1OC,230.903092330956,6.636570250827832,0,0,0,0,0,0,0,0,0,0,0,0,2.5838019002051933
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,18.91103425477062,7.723284718703515,0,0,0,0,0,0,0,0,0,0,0,0,2.2951514836512157
O=C1NCc2c1c1c3cc(O)ccc3[nH]c1c1[nH]c3ccccc3c21,151.04718486806394,6.82088736445001,0,0,0,0,0,0,0,0,0,0,0,0,2.7155308989795923
C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,34.70371824933503,7.459623991242047,0,0,0,0,0,0,0,0,0,0,0,0,3.3381852982174456
COc1ccc2c3c(c4cc(OC)c(O)cc4c2c1)CN1CCC[C@H]1[C@H]3O,72.75403032741497,7.138142943229011,0,0,0,0,0,0,0,0,0,0,0,0,3.3672880587825293
CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,7.028574280056111,8.153132761054078,0,0,0,0,0,0,0,0,0,0,0,0,3.416368132509488
CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,5.773718297942444,8.238544409342316,0,0,0,0,0,0,0,0,0,0,0,0,2.956197193590695
O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,427.5129184762851,6.369050757337686,0,0,0,0,0,0,0,0,0,0,0,0,3.611021286177671
COC(=O)[C@]1(C)CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)C(O)=C5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,350.5589887208961,6.455238892617601,0,0,0,0,0,0,0,0,0,0,0,0,4.907770351840751
